#TAXONOMY	Kingdom	Phylum	Class	Order	Family	Genus	Species
ea2a80aef1ae448b99626b16d50fb7bb	Bacteria	Firmicutes_D	Bacilli	Lactobacillales	Aerococcaceae	Abiotrophia	Abiotrophia defectiva
651dbab976be7b348243dac0f9f06a03	Bacteria	Firmicutes_D	Bacilli	Lactobacillales	Aerococcaceae	Abiotrophia	Abiotrophia defectiva
b49cdb1cbbb75e76b253cc3e938244df	Bacteria	Firmicutes_D	Bacilli	Lactobacillales	Aerococcaceae	Abiotrophia	Abiotrophia defectiva
1d05c09d628229f9232f9d5eec47ccc3	Bacteria	Firmicutes_D	Bacilli	Lactobacillales	Aerococcaceae	Abiotrophia	Abiotrophia defectiva
88f1681611cd020bf854dadf006bcd9e	Bacteria	Actinobacteriota	Thermoleophilia	Gaiellales	Gaiellaceae	AC-16	AC-16 sp005884575
522bc6f754489c0a2ab22e019222beaa	Bacteria	Actinobacteriota	UBA4738_401450	UBA4738	HRBIN12	AC-51	AC-51_unclassified
975d5246ed9e6275ee7ac99233fd93bf	Bacteria	Firmicutes_A	Clostridia_258483	Oscillospirales	Ruminococcaceae	Acetanaerobacterium	Acetanaerobacterium elongatum
ba6471ee0ae01dbc934bbbe44043775d	Bacteria	Firmicutes_A	Clostridia_258483	Lachnospirales	Lachnospiraceae	Acetatifactor	Acetatifactor sp900066565
18b8c6e656f9c8fc3d627f1611619023	Bacteria	Firmicutes_A	Clostridia_258483	Lachnospirales	Lachnospiraceae	Acetatifactor	Acetatifactor sp900066565
5f56f459183d5cce056c8cd25cedd145	Bacteria	Firmicutes_A	Clostridia_258483	Lachnospirales	Lachnospiraceae	Acetatifactor	Acetatifactor sp900066565
aa339ad51a0bea254180914c9bf90172	Bacteria	Firmicutes_A	Clostridia_258483	Lachnospirales	Lachnospiraceae	Acetatifactor	Acetatifactor sp900066565
dab7c1bc946acd4b0066d5340b508bc7	Bacteria	Firmicutes_A	Clostridia_258483	Lachnospirales	Lachnospiraceae	Acetatifactor	Acetatifactor sp900066565
1957700d96a36832b7ad293acc40348d	Bacteria	Firmicutes_A	Clostridia_258483	Lachnospirales	Lachnospiraceae	Acetatifactor	Acetatifactor sp900066565
8484bad0ec14c912bab50790e4e6c734	Bacteria	Firmicutes_A	Clostridia_258483	Lachnospirales	Lachnospiraceae	Acetatifactor	Acetatifactor sp900066565
7a188c48aa96ec47f67f370b75bc6c70	Bacteria	Firmicutes_A	Clostridia_258483	Lachnospirales	Lachnospiraceae	Acetatifactor	Acetatifactor sp900066565
80aa836814a8347cc085abccf14a1c9c	Bacteria	Firmicutes_A	Clostridia_258483	Lachnospirales	Lachnospiraceae	Acetatifactor	Acetatifactor sp900066565
f4767db1f13c97179c8202c873024e52	Bacteria	Firmicutes_A	Clostridia_258483	Acetivibrionales	Acetivibrionaceae	Acetivibrionaceae_unclassified	Acetivibrionaceae_unclassified
70d98f770f8a05e7e18c93094ecc536f	Bacteria	Proteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Acetobacter	Acetobacter_unclassified
cc2fa6f2a5ff8282ed8601ec671fb7a5	Bacteria	Proteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Acetobacter	Acetobacter_unclassified
b36149debfdbc09218da7312d57b4929	Bacteria	Proteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Acetobacteraceae_unclassified	Acetobacteraceae_unclassified
