#SampleID	body_habitat	bodysite	host_subject_id
SRR041650	Oral	Tongue_dorsum	159288231
SRR041642	Oral	Supragingival_plaque	159288231
SRR046216	Oral	Tongue_dorsum	763880905
SRR046190	Oral	Buccal_mucosa	763880905
SRR046203	Oral	Supragingival_plaque	763880905
SRR047637	Stool	Stool	763880905
SRR043773	Oral	Tongue_dorsum	763759525
SRR043755	Oral	Buccal_mucosa	763759525
SRR043800	Oral	Supragingival_plaque	763759525
SRR047400	Stool	Stool	763759525
SRR043886	Skin	R_Antecubital_fossa	763759525
SRR043766	Skin	Anterior_nares	763759525
SRR047403	Stool	Stool	763982056
SRR046513	Skin	R_Antecubital_fossa	763982056
SRR043802	Skin	Anterior_nares	763982056
SRR043803	Oral	Tongue_dorsum	763982056
SRR043756	Oral	Buccal_mucosa	763982056
SRR043745	Oral	Supragingival_plaque	763982056
SRR044274	Oral	Tongue_dorsum	764447348
SRR047415	Oral	Buccal_mucosa	764447348
SRR044272	Oral	Supragingival_plaque	764447348
SRR044251	Stool	Stool	764447348
SRR044469	Skin	R_Antecubital_fossa	764447348
SRR044267	Skin	Anterior_nares	764447348
SRR044468	Skin	R_Antecubital_fossa	765074482
SRR044436	Skin	Anterior_nares	765074482
SRR044435	Oral	Tongue_dorsum	765074482
SRR044419	Oral	Buccal_mucosa	765074482
SRR044384	Oral	Supragingival_plaque	765074482
SRR044424	Stool	Stool	765074482
SRR044510	Skin	R_Antecubital_fossa	765094712
SRR044449	Skin	Anterior_nares	765094712
SRR044422	Oral	Tongue_dorsum	765094712
SRR047433	Oral	Buccal_mucosa	765094712
SRR044400	Oral	Supragingival_plaque	765094712
SRR046202	Stool	Stool	765094712
SRR044511	Skin	R_Antecubital_fossa	764892411
SRR044433	Skin	Anterior_nares	764892411
SRR044391	Oral	Tongue_dorsum	764892411
SRR044383	Oral	Buccal_mucosa	764892411
SRR044378	Oral	Supragingival_plaque	764892411
SRR044428	Stool	Stool	764892411
SRR048918	Skin	R_Antecubital_fossa	160765029
SRR049607	Stool	Stool	765094712
SRR048769	Skin	R_Antecubital_fossa	160845950
SRR048700	Oral	Supragingival_plaque	160765029
SRR048465	Oral	Buccal_mucosa	159632143
SRR048716	Skin	R_Antecubital_fossa	159288231
SRR048703	Skin	Anterior_nares	160765029
SRR048688	Oral	Supragingival_plaque	160845950
SRR046395	Oral	Supragingival_plaque	765094712
SRR048689	Oral	Tongue_dorsum	160845950
SRR047694	Oral	Tongue_dorsum	765094712
SRR048470	Oral	Supragingival_plaque	159632143
SRR048472	Oral	Tongue_dorsum	159632143
SRR047231	Oral	Tongue_dorsum	765074482
SRR048875	Skin	Anterior_nares	159288231
SRR048693	Stool	Stool	160765029
SRR043741	Oral	Supragingival_plaque	763880905
SRR049604	Stool	Stool	765074482
SRR048690	Skin	Anterior_nares	160845950
SRR048473	Skin	Anterior_nares	159632143
SRR048475	Skin	R_Antecubital_fossa	159632143
SRR047648	Stool	Stool	763880905
SRR048694	Oral	Buccal_mucosa	160765029
SRR048449	Oral	Buccal_mucosa	159288231
SRR046521	Skin	R_Antecubital_fossa	763880905
SRR049606	Skin	Anterior_nares	765094712
SRR048455	Oral	Supragingival_plaque	159288231
SRR047407	Oral	Tongue_dorsum	763880905
SRR048681	Stool	Stool	160845950
SRR048702	Oral	Tongue_dorsum	160765029
SRR048457	Oral	Tongue_dorsum	159288231
SRR048464	Stool	Stool	159632143
SRR043801	Skin	Anterior_nares	763880905
SRR043798	Oral	Buccal_mucosa	763880905
SRR047224	Oral	Buccal_mucosa	765094712
SRR048448	Stool	Stool	159288231
SRR048682	Oral	Buccal_mucosa	160845950
SRR046397	Oral	Supragingival_plaque	765074482
