FeatureID	Bgsng7018.m1	Bgsng7018.m24	Bgsng7096.m1	Bgsng7096.m24	Bgsng7128.m1	Bgsng7128.m24	Bgsng7150.m1	Bgsng7150.m24	Bgsng7204.m1	Bgsng7204.m24	Bgtw1.F.m1	Bgtw1.F.m16	Bgtw11.F.m1	Bgtw11.F.m4	Bgtw11.M.m1	Bgtw11.M.m12	Bgtw11.T2.m4	Bgtw11.T2.m12.dr	Bgtw2.F.m4	Bgtw2.F.m10	Bgtw4.F.m1	Bgtw4.F.m13	Bgtw5.M.m1	Bgtw5.M.m22	Bgtw6.F.m1	Bgtw6.F.m10	Bgtw6.T1.m1	Bgtw6.T1.m10	Bgtw6.T2.m1	Bgtw6.T2.m10	Bgtw7.M.m1	Bgtw7.M.m16	Bgtw7.T2.m2	Bgtw7.T2.m16	Bgtw8.T2.m1	Bgtw8.T2.m12	Bgtw9.F.m1	Bgtw9.F.m13	Bgtw9.T1.m3	Bgtw9.T1.m13	308.MF27A	312.MF133A	292.MF17A	293.MF104A	29.MF16A	33.MF129A	213.MF40A	215.MF116A	61.MF68A	62.MF95A	45.MF21A	48.MF92A	67.MF70A	68.MF94A	260.MF11A	262.MF121A	266.MF13A	268.MF98A	253.MF5A	254.MF73A	176.MF6A	177.MF86A	171.MF59A	173.MF122A	192.MF18A	99.MF134A	65.BF75A	66.BF100A	302.BF47A	307.BF158A	196.BF12A	197.BF97A	186.BF26A	191.BF141A	216.BF61A	217.BF118A	167.BF54A	170.BF146A	282.BF131A	283.BF153A	G75873	G63273	G75882	G67159	G75821	G73690	G75707	G74010	G75824	G64970	G63289	G74011	G63361	G66778	G64640	G67094	G72820	G74021	G65513	G66507	G76381	G66426	G76437	G66428	G76489	G66154	G76382	G75617	G76392	G73847	G75718	G73846	G76387	G66686	G76491	G64856	G64901	G64854	G75778	G65923
ASV_4_Candidatus_Methanogranum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_12_Methanobrevibacter	0	0	0	0	0	0	0	0	0	0	0	4	0	13	0	0	0	0	0	37	29	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60	46	79	0	272	6	8	5	18	28	211	0	9	15	0	8	0	53	6	93	0	151	90	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_14_Methanosphaera	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_21_Lachnospiraceae_NK4A136_group	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	9	0	0	0	0	0	5	0	0	0	0	0	9	0	0	0	0	0	0	0	6	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_22_Lachnospiraceae_NK4A136_group	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_25_Lachnospiraceae_NK4A136_group	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	166	49	0	0	0	273	0	65	31	0	0	0	29	0	98	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	150	0	0	0	0	0	0	0	0	0	0	0	86	0	0	0	0	0	0	0	0	0	72	0	0	0	0	0	0	0	0	0	0	0	234	0	0	0	68
ASV_26_Lachnospiraceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	99	0	0	0	0
ASV_31_Lachnospiraceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	11	0	0	0	0	0	133	56	181	0	0	0	11	0	121	0	0	0	0	0	142	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_34_Lachnospiraceae_NK4A136_group	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	28	0	0	22	8	0	0	0	0	0	0	0	0	0	0	0	0	0	123	61	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2178	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_36_Lachnospiraceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	0	0	0	8	0	0	0	0	16	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
