FeatureID	Kingdom	Phylum	Class	Order	Family	Genus	Species	Strain
ASV_4_Candidatus_Methanogranum	Archaea	Euryarchaeota	Thermoplasmata	Methanomassiliicoccales	Methanomethylophilaceae	Candidatus_Methanogranum	Unclassified	Unclassified
ASV_12_Methanobrevibacter	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobrevibacter	Unclassified	Unclassified
ASV_14_Methanosphaera	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanosphaera	Unclassified	Unclassified
ASV_21_Lachnospiraceae_NK4A136_group	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnospiraceae_NK4A136_group	Unclassified	Unclassified
ASV_22_Lachnospiraceae_NK4A136_group	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnospiraceae_NK4A136_group	Unclassified	Unclassified
ASV_25_Lachnospiraceae_NK4A136_group	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnospiraceae_NK4A136_group	Unclassified	Unclassified
ASV_26_Lachnospiraceae	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Unclassified	Unclassified	Unclassified
ASV_31_Lachnospiraceae	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Unclassified	Unclassified	Unclassified
ASV_34_Lachnospiraceae_NK4A136_group	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnospiraceae_NK4A136_group	Unclassified	Unclassified
ASV_36_Lachnospiraceae	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Unclassified	Unclassified	Unclassified
ASV_43_Lachnospiraceae_NK4A136_group	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnospiraceae_NK4A136_group	Unclassified	Unclassified
ASV_53_Lachnospiraceae_NK4A136_group	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnospiraceae_NK4A136_group	Unclassified	Unclassified
ASV_59_Lachnospiraceae_NK4A136_group	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnospiraceae_NK4A136_group	Unclassified	Unclassified
ASV_61_Lachnospiraceae_AC2044_group	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnospiraceae_AC2044_group	Unclassified	Unclassified
ASV_64_Lachnospiraceae_NK4A136_group	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnospiraceae_NK4A136_group	Unclassified	Unclassified
ASV_66_Lachnospiraceae	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Unclassified	Unclassified	Unclassified
ASV_70_Lachnospiraceae_NK4A136_group	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnospiraceae_NK4A136_group	Unclassified	Unclassified
ASV_72_Lachnospiraceae	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Unclassified	Unclassified	Unclassified
ASV_73_Lachnospiraceae_NK4A136_group	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnospiraceae_NK4A136_group	Unclassified	Unclassified
ASV_76_Lachnospiraceae_NK4A136_group	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnospiraceae_NK4A136_group	Unclassified	Unclassified
ASV_81_Lachnospiraceae_NK4A136_group	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnospiraceae_NK4A136_group	Unclassified	Unclassified
ASV_94_Eisenbergiella_massiliensis	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Eisenbergiella	massiliensis	Unclassified
